stairs.thisTrialN	stairs.stepSize	stairs.intensity	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	corrAns	tilt	key_resp.corr	stairs.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
64	0.5	1	89.6685263	90.1533508	90.1533508	90.1533508	90.4536202	right	1	1	1	0.6282051	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
65	0.5	1	90.8176958	91.3032379	91.3032379	91.3032379	91.6041806	left	-1	1	1	0.729712	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
66	0.5	1	92.0677582	92.5543442	92.5543442	92.5543442	92.8534305	right	1	1	1	0.6569872	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
67	0.5	1	93.252527	93.7353792	93.7353792	93.7353792	94.0346004	right	1	0	0	0.7226741	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
68	0.5	1.5	94.4841964	94.9700763	94.9700763	94.9700763	95.2722845	right	1.5	1	1	0.2966907	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
69	0.5	1.5	95.3014796	95.7866753	95.7866753	95.7866753	96.0867528	left	-1.5	1	1	0.3360786	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
70	0.5	1.5	96.1685421	96.6539029	96.6539029	96.6539029		right	1.5	1	1	0.2498365	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
71	0.5	1	96.9355333	97.4197369	97.4197369	97.4197369	97.7347467	right	1	0	0	0.2771257	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
72	0.5	1.5	97.7347467	98.2195332	98.2195332	98.2195332		right	1.5	1	1	0.2405766	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
73	0.5	1.5	98.5006308	98.9875013	98.9875013	98.9875013	99.2853467	right	1.5	1	1	0.5324728	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
74	0.5	1.5	99.5511127	100.0369204	100.0369204	100.0369204	100.3372151	right	1.5	1	1	0.7982949	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
75	0.5	1	100.867957	101.3526584	101.3526584	101.3526584	101.6523904	right	1	1	1	0.4806311	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
76	0.5	1	101.8672236	102.352524	102.352524	102.352524	102.6532104	left	-1	1	1	0.4478694	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
77	0.5	1	102.8336188	103.3191014	103.3191014	103.3191014	103.6192774	right	1	1	1	0.6936201	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
78	0.5	1	104.0318178	104.5317903	104.5317903	104.5317903	104.8312814	left	-1	1	1	0.6676714	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
79	0.5	1	105.23115	105.7181959	105.7181959	105.7181959	106.017341	right	1	1	1	0.6430993	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
80	0.5	1	106.398482	106.8851987	106.8851987	106.8851987	107.2008422	left	-1	1	1	0.6072044	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
81	0.5	1	107.5316474	108.018776	108.018776	108.018776	108.3167168	left	-1	1	1	0.6492777	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
82	0.5	1	108.7002896	109.2001249	109.2001249	109.2001249	109.5015723	left	-1	1	1	0.4360725	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
83	0.5	1	109.6812093	110.1667323	110.1667323	110.1667323	110.4668693	left	-1	1	1	0.4886519	jc	1	2023-09-05_21h47.53.056	tutorial01	2023.1.3	60.08936486
